Stock Price,Strike Price,Maturity,Dividends,Volatility,Risk-free,Call Price
83.82,40.0,0.008067882221715212,0.0,0.4461,0.0088,43.9
83.82,45.0,0.008067882221715212,0.0,0.4461,0.0088,38.9
83.82,47.5,0.008067882221715212,0.0,0.4461,0.0088,36.4
83.82,50.0,0.008067882221715212,0.0,0.4461,0.0088,33.9
83.82,55.0,0.008067882221715212,0.0,0.4461,0.0088,28.9
83.82,56.0,0.008067882221715212,0.0,0.4461,0.0088,27.85
83.82,59.0,0.008067882221715212,0.0,0.4461,0.0088,24.9
83.82,60.0,0.008067882221715212,0.0,0.4461,0.0088,23.9
83.82,61.0,0.008067882221715212,0.0,0.4461,0.0088,22.9
83.82,64.0,0.008067882221715212,0.0,0.4461,0.0088,19.95
83.82,65.0,0.008067882221715212,0.0,0.4461,0.0088,18.85
83.82,66.0,0.008067882221715212,0.0,0.4461,0.0088,17.95
83.82,67.0,0.008067882221715212,0.0,0.4461,0.0088,16.85
83.82,67.5,0.008067882221715212,0.0,0.4461,0.0088,16.45
83.82,68.0,0.008067882221715212,0.0,0.4461,0.0088,15.95
83.82,69.0,0.008067882221715212,0.0,0.4461,0.0088,14.85
83.82,70.0,0.008067882221715212,0.0,0.4461,0.0088,13.85
83.82,71.0,0.008067882221715212,0.0,0.4461,0.0088,12.95
83.82,71.5,0.008067882221715212,0.0,0.4461,0.0088,12.35
83.82,72.0,0.008067882221715212,0.0,0.4461,0.0088,11.85
83.82,72.5,0.008067882221715212,0.0,0.4461,0.0088,11.45
83.82,73.0,0.008067882221715212,0.0,0.4461,0.0088,10.9
83.82,73.5,0.008067882221715212,0.0,0.4461,0.0088,10.5
83.82,74.0,0.008067882221715212,0.0,0.4461,0.0088,10.0
83.82,74.5,0.008067882221715212,0.0,0.4461,0.0088,9.5
83.82,75.0,0.008067882221715212,0.0,0.4461,0.0088,9.0
83.82,75.5,0.008067882221715212,0.0,0.4461,0.0088,8.5
83.82,76.0,0.008067882221715212,0.0,0.4461,0.0088,8.1
83.82,76.5,0.008067882221715212,0.0,0.4461,0.0088,7.55
83.82,77.0,0.008067882221715212,0.0,0.4461,0.0088,7.05
83.82,77.5,0.008067882221715212,0.0,0.4461,0.0088,6.6
83.82,78.0,0.008067882221715212,0.0,0.4461,0.0088,6.0
83.82,78.5,0.008067882221715212,0.0,0.4461,0.0088,5.8
83.82,79.0,0.008067882221715212,0.0,0.4461,0.0088,5.1
83.82,79.5,0.008067882221715212,0.0,0.4461,0.0088,4.7
83.82,80.0,0.008067882221715212,0.0,0.4461,0.0088,4.2
83.82,80.5,0.008067882221715212,0.0,0.4461,0.0088,4.0
83.82,81.0,0.008067882221715212,0.0,0.4461,0.0088,3.5
83.82,81.5,0.008067882221715212,0.0,0.4461,0.0088,3.0
83.82,82.0,0.008067882221715212,0.0,0.4461,0.0088,2.7
83.82,82.5,0.008067882221715212,0.0,0.4461,0.0088,2.33
83.82,83.0,0.008067882221715212,0.0,0.4461,0.0088,2.0
83.82,83.5,0.008067882221715212,0.0,0.4461,0.0088,1.74
83.82,84.0,0.008067882221715212,0.0,0.4461,0.0088,1.48
83.82,84.5,0.008067882221715212,0.0,0.4461,0.0088,1.24
83.82,85.0,0.008067882221715212,0.0,0.4461,0.0088,1.05
83.82,85.5,0.008067882221715212,0.0,0.4461,0.0088,1.0
83.82,86.0,0.008067882221715212,0.0,0.4461,0.0088,0.74
83.82,86.5,0.008067882221715212,0.0,0.4461,0.0088,0.61
83.82,87.0,0.008067882221715212,0.0,0.4461,0.0088,0.52
83.82,87.5,0.008067882221715212,0.0,0.4461,0.0088,0.44
83.82,88.0,0.008067882221715212,0.0,0.4461,0.0088,0.35
83.82,88.5,0.008067882221715212,0.0,0.4461,0.0088,0.29
83.82,89.0,0.008067882221715212,0.0,0.4461,0.0088,0.25
83.82,89.5,0.008067882221715212,0.0,0.4461,0.0088,0.22
83.82,90.0,0.008067882221715212,0.0,0.4461,0.0088,0.18
83.82,90.5,0.008067882221715212,0.0,0.4461,0.0088,0.16
83.82,91.0,0.008067882221715212,0.0,0.4461,0.0088,0.13
83.82,92.0,0.008067882221715212,0.0,0.4461,0.0088,0.1
83.82,92.5,0.008067882221715212,0.0,0.4461,0.0088,0.09
83.82,93.0,0.008067882221715212,0.0,0.4461,0.0088,0.1
83.82,94.0,0.008067882221715212,0.0,0.4461,0.0088,0.07
83.82,95.0,0.008067882221715212,0.0,0.4461,0.0088,0.05
83.82,96.0,0.008067882221715212,0.0,0.4461,0.0088,0.05
83.82,97.0,0.008067882221715212,0.0,0.4461,0.0088,0.13
83.82,97.5,0.008067882221715212,0.0,0.4461,0.0088,0.04
83.82,98.0,0.008067882221715212,0.0,0.4461,0.0088,0.04
83.82,99.0,0.008067882221715212,0.0,0.4461,0.0088,0.12
83.82,100.0,0.008067882221715212,0.0,0.4461,0.0088,0.03
83.82,101.0,0.008067882221715212,0.0,0.4461,0.0088,0.05
83.82,102.0,0.008067882221715212,0.0,0.4461,0.0088,0.1
83.82,103.0,0.008067882221715212,0.0,0.4461,0.0088,0.11
83.82,104.0,0.008067882221715212,0.0,0.4461,0.0088,0.11
