Stock Price,Strike Price,Maturity,Dividends,Volatility,Risk-free,Call Price
21.99,1,0.00561589,0.0275,0.3434,0.0088,22.6
21.99,5,0.00561589,0.0275,0.3434,0.0088,12.1
21.99,7,0.00561589,0.0275,0.3434,0.0088,11
21.99,9,0.00561589,0.0275,0.3434,0.0088,11.1
21.99,10,0.00561589,0.0275,0.3434,0.0088,12.6
21.99,11,0.00561589,0.0275,0.3434,0.0088,8.6
21.99,12,0.00561589,0.0275,0.3434,0.0088,9.8
21.99,13,0.00561589,0.0275,0.3434,0.0088,9.6
21.99,14,0.00561589,0.0275,0.3434,0.0088,7.6
21.99,15,0.00561589,0.0275,0.3434,0.0088,6.5
21.99,16,0.00561589,0.0275,0.3434,0.0088,5.5
21.99,17,0.00561589,0.0275,0.3434,0.0088,4.4
21.99,18,0.00561589,0.0275,0.3434,0.0088,3.5
21.99,19,0.00561589,0.0275,0.3434,0.0088,2.4
21.99,20,0.00561589,0.0275,0.3434,0.0088,1.45
21.99,21,0.00561589,0.0275,0.3434,0.0088,0.5
21.99,22,0.00561589,0.0275,0.3434,0.0088,0.1
21.99,23,0.00561589,0.0275,0.3434,0.0088,0.05
21.99,24,0.00561589,0.0275,0.3434,0.0088,0.05
21.99,25,0.00561589,0.0275,0.3434,0.0088,0.1
21.99,26,0.00561589,0.0275,0.3434,0.0088,0.15
21.99,27,0.00561589,0.0275,0.3434,0.0088,0.15
21.99,17,0.082275712,0.0275,0.3434,0.0088,4.7
21.99,18,0.082275712,0.0275,0.3434,0.0088,3.7
21.99,19,0.082275712,0.0275,0.3434,0.0088,2.6
21.99,20,0.082275712,0.0275,0.3434,0.0088,1.8
21.99,21,0.082275712,0.0275,0.3434,0.0088,1.05
21.99,22,0.082275712,0.0275,0.3434,0.0088,0.6
21.99,23,0.082275712,0.0275,0.3434,0.0088,0.35
21.99,24,0.082275712,0.0275,0.3434,0.0088,0.2
21.99,25,0.082275712,0.0275,0.3434,0.0088,0.15
21.99,28,0.082275712,0.0275,0.3434,0.0088,0.15
21.99,10,0.254760311,0.0275,0.3434,0.0088,8.8
21.99,11,0.254760311,0.0275,0.3434,0.0088,7.3
21.99,12,0.254760311,0.0275,0.3434,0.0088,9.6
21.99,13,0.254760311,0.0275,0.3434,0.0088,8
21.99,14,0.254760311,0.0275,0.3434,0.0088,7.7
21.99,15,0.254760311,0.0275,0.3434,0.0088,6.7
21.99,16,0.254760311,0.0275,0.3434,0.0088,5.7
21.99,17,0.254760311,0.0275,0.3434,0.0088,4.7
21.99,18,0.254760311,0.0275,0.3434,0.0088,3.8
21.99,19,0.254760311,0.0275,0.3434,0.0088,3
21.99,20,0.254760311,0.0275,0.3434,0.0088,2.3
21.99,21,0.254760311,0.0275,0.3434,0.0088,1.7
21.99,22,0.254760311,0.0275,0.3434,0.0088,1.2
21.99,23,0.254760311,0.0275,0.3434,0.0088,0.85
21.99,24,0.254760311,0.0275,0.3434,0.0088,0.6
21.99,25,0.254760311,0.0275,0.3434,0.0088,0.4
21.99,26,0.254760311,0.0275,0.3434,0.0088,0.3
